case,seed,run_dir,selected_k,k_eigengap,k_bandwidth_stability,trustworthiness,continuity,geodesic_consistency,estimated_intrinsic_dim_noisy,k_intrinsic_dim
swiss_roll_low_noise,11,results/20260302_185307_intrinsic_dim_swiss_roll/runs/20260302_185308_intrinsic_dim_swiss_roll_swiss_roll_low_noise_seed11,1,12,1,0.8449505851755527,0.46599999999999997,-0.015766654152006364,1.9732482280721686,2
swiss_roll_low_noise,22,results/20260302_185307_intrinsic_dim_swiss_roll/runs/20260302_185311_intrinsic_dim_swiss_roll_swiss_roll_low_noise_seed22,1,12,1,0.9481950585175553,0.5565000000000001,-0.014617004878478517,2.0556496290686077,3
swiss_roll_high_noise,11,results/20260302_185307_intrinsic_dim_swiss_roll/runs/20260302_185314_intrinsic_dim_swiss_roll_swiss_roll_high_noise_seed11,1,12,1,0.8308667100130039,0.472,-0.017152202271159794,2.1510645779581608,3
swiss_roll_high_noise,22,results/20260302_185307_intrinsic_dim_swiss_roll/runs/20260302_185317_intrinsic_dim_swiss_roll_swiss_roll_high_noise_seed22,1,11,1,0.9372080624187256,0.59275,-0.0145337480016313,2.2030525919354833,3
