case,seed,run_dir,selected_k,k_eigengap,k_bandwidth_stability,trustworthiness,continuity,geodesic_consistency
torus_r_0p02,11,results/20260303_161930_torus_noise_sweep/runs/20260303_161931_torus_noise_sweep_torus_r_0p02_seed11,7,4,7,0.9668671525380386,0.27955555555555556,0.7680260241711794
torus_r_0p02,22,results/20260303_161930_torus_noise_sweep/runs/20260303_161939_torus_noise_sweep_torus_r_0p02_seed22,8,4,8,0.9683943229766014,0.29244444444444445,0.7714675489197995
torus_r_0p02,33,results/20260303_161930_torus_noise_sweep/runs/20260303_161947_torus_noise_sweep_torus_r_0p02_seed33,11,4,11,0.9688111494693773,0.2944444444444445,0.8125201886803912
torus_r_0p08,11,results/20260303_161930_torus_noise_sweep/runs/20260303_161952_torus_noise_sweep_torus_r_0p08_seed11,7,4,7,0.9664267996419895,0.29244444444444445,0.7683647735196246
torus_r_0p08,22,results/20260303_161930_torus_noise_sweep/runs/20260303_162002_torus_noise_sweep_torus_r_0p08_seed22,12,4,12,0.9679304436772791,0.3035555555555555,0.7682239957764093
torus_r_0p08,33,results/20260303_161930_torus_noise_sweep/runs/20260303_162009_torus_noise_sweep_torus_r_0p08_seed33,11,4,11,0.9663756552870477,0.2964444444444444,0.8097942469164207
torus_r_0p16,11,results/20260303_161930_torus_noise_sweep/runs/20260303_162014_torus_noise_sweep_torus_r_0p16_seed11,7,4,7,0.9636522183863956,0.32155555555555554,0.7631825157393515
torus_r_0p16,22,results/20260303_161930_torus_noise_sweep/runs/20260303_162019_torus_noise_sweep_torus_r_0p16_seed22,12,4,12,0.964293568597366,0.30977777777777776,0.7596084389118499
torus_r_0p16,33,results/20260303_161930_torus_noise_sweep/runs/20260303_162024_torus_noise_sweep_torus_r_0p16_seed33,7,4,7,0.9626431402633935,0.3055555555555556,0.8003636686443526
