case,seed,run_dir,selected_k,k_eigengap,k_bandwidth_stability,trustworthiness,continuity,geodesic_consistency,r_estimated_simple,r_estimated_twoscale,k_r_based,known_noise_r
swiss_roll_r_0p03_estimated,11,results/20260303_163008_r_estimation_swiss_roll/runs/20260303_163009_r_estimation_swiss_roll_swiss_roll_r_0p03_estimated_seed11,1,12,1,0.8449505851755527,0.46599999999999997,-0.015766654152006364,0.20747985617419976,0.134176870610291,1,0.03
swiss_roll_r_0p03_estimated,22,results/20260303_163008_r_estimation_swiss_roll/runs/20260303_163014_r_estimation_swiss_roll_swiss_roll_r_0p03_estimated_seed22,1,12,1,0.9481950585175553,0.5565000000000001,-0.014617004878478517,0.20553001670143975,0.12715473912556488,1,0.03
swiss_roll_r_0p08_estimated,11,results/20260303_163008_r_estimation_swiss_roll/runs/20260303_163019_r_estimation_swiss_roll_swiss_roll_r_0p08_estimated_seed11,1,12,1,0.8389122236671002,0.4739999999999999,-0.01673592998934798,0.20853149694407194,0.13890847184403607,1,0.08
swiss_roll_r_0p08_estimated,22,results/20260303_163008_r_estimation_swiss_roll/runs/20260303_163024_r_estimation_swiss_roll_swiss_roll_r_0p08_estimated_seed22,1,12,1,0.9221644993498049,0.57875,-0.012569371673870317,0.2129216832427495,0.13678570287860192,1,0.08
swiss_roll_r_0p16_estimated,11,results/20260303_163008_r_estimation_swiss_roll/runs/20260303_163028_r_estimation_swiss_roll_swiss_roll_r_0p16_estimated_seed11,1,12,1,0.8308667100130039,0.472,-0.017152202271159794,0.2314083792528297,0.07319300285150003,1,0.16
swiss_roll_r_0p16_estimated,22,results/20260303_163008_r_estimation_swiss_roll/runs/20260303_163033_r_estimation_swiss_roll_swiss_roll_r_0p16_estimated_seed22,1,11,1,0.9372080624187256,0.59275,-0.0145337480016313,0.23290138663300855,0.05027037678597573,1,0.16
