case,seed,run_dir,selected_k,k_eigengap,k_bandwidth_stability,trustworthiness,continuity,geodesic_consistency
eigengap_ambiguous,7,results/20260302_174201_eigengap_ambiguous_suite/runs/20260302_174201_eigengap_ambiguous_suite_eigengap_ambiguous_seed7,3,3,14,0.855299322337297,0.3268888888888889,0.5817306392237179
eigengap_ambiguous,8,results/20260302_174201_eigengap_ambiguous_suite/runs/20260302_174205_eigengap_ambiguous_suite_eigengap_ambiguous_seed8,3,3,14,0.8489610024293568,0.32222222222222224,0.6986960741681968
eigengap_ambiguous,9,results/20260302_174201_eigengap_ambiguous_suite/runs/20260302_174208_eigengap_ambiguous_suite_eigengap_ambiguous_seed9,3,3,12,0.8560393811533051,0.31733333333333336,0.5637391134303634
stability_ambiguous,7,results/20260302_174201_eigengap_ambiguous_suite/runs/20260302_174211_eigengap_ambiguous_suite_stability_ambiguous_seed7,8,3,8,0.855299322337297,0.3268888888888889,0.5817306392237179
stability_ambiguous,8,results/20260302_174201_eigengap_ambiguous_suite/runs/20260302_174214_eigengap_ambiguous_suite_stability_ambiguous_seed8,9,3,9,0.8489610024293568,0.32222222222222224,0.6986960741681968
stability_ambiguous,9,results/20260302_174201_eigengap_ambiguous_suite/runs/20260302_174218_eigengap_ambiguous_suite_stability_ambiguous_seed9,8,3,8,0.8560393811533051,0.31733333333333336,0.5637391134303634
